rs10004195	Lesion of stomach
rs1000592	Obsessive-Compulsive Disorder
rs1000592	Osteochondritis Dissecans
rs10010131	Diabetes Mellitus, Non-Insulin-Dependent
rs10010131	Gestational Diabetes
rs10010131	Hyperglycemia
rs10010131	Metabolic Syndrome X
rs10010131	Obesity
rs1001179	Breast Carcinoma
rs1001179	Diabetes
rs1001179	Diabetes Mellitus
rs1001179	Diabetes Mellitus, Non-Insulin-Dependent
rs1001179	Hypertensive disease
rs1001179	Malignant neoplasm of breast
rs1001179	Neurologic Symptoms
rs1001179	Prostatic Diseases
rs1001179	Stage IV Prostate Cancer AJCC v7
rs1001179	Stage IV Prostate Carcinoma
rs10012946	Diabetes Mellitus, Non-Insulin-Dependent
rs10023113	Non-Small Cell Lung Carcinoma
rs1002630	Diabetes Mellitus, Non-Insulin-Dependent
rs1002630	Diabetic Retinopathy
rs10033900	Age related macular degeneration
rs10033900	Myopia
rs10036748	Asthma
rs10036748	Lupus Erythematosus, Systemic
rs10036748	Systemic Scleroderma
rs10037045	Cerebrovascular accident
rs1003723	Bile duct carcinoma
rs10044254	Asthma
rs1004467	Blood pressure finding
rs1004467	Hypertensive disease
rs1004467	Obesity
rs1004467	Systemic arterial pressure
rs10046	Breast Carcinoma
rs10046	Endometriosis
rs10046	Malignant neoplasm of breast
rs10046	Malignant neoplasm of prostate
rs10046	Prostate carcinoma
rs1004819	Crohn Disease
rs1004819	Ulcerative Colitis
rs10050860	Ankylosing spondylitis
rs10050860	Behcet Syndrome
rs10050860	Spondylarthritis
rs10052016	Malignant neoplasm of stomach
rs10052016	Stomach Carcinoma
rs10055255	Depressive Symptoms
rs10055255	Post-Traumatic Stress Disorder
rs10063949	Crohn Disease
rs10063949	Ulcerative Colitis
rs10065172	Crohn Disease
rs1006737	Bipolar Disorder
rs1006737	Borderline Personality Disorder
rs1006737	Depressive disorder
rs1006737	Major Depressive Disorder
rs1006737	Mental Depression
rs1006737	Mental disorders
rs1006737	Migraine Disorders
rs1006737	Mood Disorders
rs1006737	Nonorganic psychosis
rs1006737	Psychotic Disorders
rs1006737	Schizophrenia
rs1006737	Unipolar Depression
rs10069690	Adult type dermatomyositis
rs10069690	Breast Carcinoma
rs10069690	Dermatomyositis
